#MatchID,NumFilters,RAh,RAm,RAs,Decd,Decm,Decs,W3_F438W,W3_F438W_Sigma,W3_F555W,W3_F555W_Sigma,W3_F814W,W3_F814W_Sigma
1932813,2,13,37,00.577,-29,52,02.47,,,,,,
1923114,3,13,37,00.780,-29,51,47.32,21.917,0.000,,,,
1926002,4,13,37,01.005,-29,51,47.04,24.729,0.000,23.555,0.000,22.656,0.000
1921577,3,13,37,00.297,-29,51,55.48,,,23.365,0.000,21.629,0.000
1935176,2,13,37,01.585,-29,51,53.53,,,22.689,0.000,,
1940267,3,13,37,01.330,-29,52,02.43,25.052,0.000,,,,
1936854,2,13,37,01.223,-29,52,03.25,24.374,0.000,,,,
1935889,8,13,37,01.509,-29,51,51.06,23.947,0.000,23.087,0.000,22.291,0.000
1915751,3,13,37,00.563,-29,51,48.61,,,25.008,0.000,22.487,0.000
1921210,5,13,37,00.775,-29,51,47.28,,,21.175,1.351,,
1921219,2,13,37,00.330,-29,51,52.69,22.700,0.000,,,,
1932420,3,13,37,00.635,-29,52,03.02,20.710,0.000,,,,
1927187,2,13,37,00.791,-29,52,03.82,,,,,,
1937345,4,13,37,01.480,-29,52,00.59,23.261,0.000,,,,
1935366,3,13,37,00.913,-29,52,04.07,20.529,0.000,,,,
2184131,3,13,37,00.844,-29,52,03.97,20.557,0.000,,,,
1937978,3,13,37,01.071,-29,52,03.94,21.895,0.000,,,,
1933333,3,13,37,01.567,-29,51,52.48,,,24.895,0.000,23.337,0.000
1938048,2,13,37,01.266,-29,52,03.05,,,,,,
1925442,2,13,37,01.158,-29,51,47.35,23.317,0.000,,,,
1937796,3,13,37,00.679,-29,52,03.35,21.600,0.000,,,,
